# freqs(eV) eps1 eps2
1.648989033264612880e-01 1.983072000000000168e+00 1.324460000000000082e-01
1.661385121110318108e-01 2.002846999999999600e+00 1.331040000000000001e-01
1.673788204135050195e-01 2.019874999999999865e+00 1.336679999999999813e-01
1.686194391778750024e-01 2.036974999999999536e+00 1.342319999999999902e-01
1.698576403670211121e-01 2.057109000000000076e+00 1.320199999999999985e-01
1.710976311452579168e-01 2.074456000000000078e+00 1.296899999999999997e-01
1.723390890343605986e-01 2.091873000000000093e+00 1.273360000000000047e-01
1.735768209454139344e-01 2.106278999999999790e+00 1.306799999999999906e-01
1.748176693171367424e-01 2.120824000000000265e+00 1.311299999999999966e-01
1.760563841828659826e-01 2.135507999999999740e+00 1.286559999999999926e-01
1.772975653268979157e-01 2.150325000000000042e+00 1.232280000000000181e-01
1.785383725492478979e-01 2.168048000000000197e+00 1.207860000000000184e-01
1.797758133473011388e-01 2.182802999999999827e+00 1.211959999999999982e-01
1.810173118904117306e-01 2.194643000000000121e+00 1.215240000000000070e-01
1.822573205243502026e-01 2.209488000000000341e+00 1.219340000000000146e-01
1.834954230302801859e-01 2.224464000000000219e+00 1.193600000000000078e-01
1.847366979066956405e-01 2.239488000000000589e+00 1.167660000000000087e-01
1.859753512728932190e-01 2.251479999999999926e+00 1.170779999999999876e-01
1.872165910654582377e-01 2.263503999999999738e+00 1.173899999999999944e-01
1.884573217910284482e-01 2.275560000000000027e+00 1.177019999999999872e-01
1.896971915621409599e-01 2.287647999999999904e+00 1.180139999999999939e-01
1.909358395828131272e-01 2.299844999999999917e+00 1.152919999999999917e-01
1.921758748730542921e-01 2.312071999999999683e+00 1.125539999999999874e-01
1.934140171803187258e-01 2.321207000000000242e+00 1.127760000000000012e-01
1.946559918251322130e-01 2.333340000000000192e+00 1.161279999999999951e-01
1.958954471142811959e-01 2.345655000000000268e+00 1.133679999999999966e-01
1.971351142942771306e-01 2.354928999999999828e+00 1.105199999999999794e-01
1.983746998929595273e-01 2.364219000000000293e+00 1.076600000000000057e-01
1.996139030028009353e-01 2.376468000000000025e+00 1.110239999999999977e-01
2.008556691179038955e-01 2.382640000000000313e+00 1.111679999999999890e-01
2.020932150498772895e-01 2.395008000000000248e+00 1.114559999999999995e-01
2.033327660605807330e-01 2.404376000000000069e+00 1.085699999999999998e-01
2.045741138387283664e-01 2.413760000000000350e+00 1.056720000000000159e-01
2.058136276507689377e-01 2.423092999999999719e+00 1.058759999999999979e-01
