# freqs(eV) eps1 eps2
1.401014593123979801e-01 1.468869000000000202e+00 1.213000000000000189e-01
1.413424542380780635e-01 1.508040000000000047e+00 1.204420000000000074e-01
1.425810313523922235e-01 1.542345000000000299e+00 1.292719999999999980e-01
1.438214848366138610e-01 1.557192000000000132e+00 1.323940000000000117e-01
1.450616443583710169e-01 1.575134999999999952e+00 1.230880000000000030e-01
1.463009315284493628e-01 1.608596999999999611e+00 1.065959999999999963e-01
1.475405043590686249e-01 1.654768999999999712e+00 1.029599999999999960e-01
1.487816200461998528e-01 1.680359999999999854e+00 1.115419999999999884e-01
1.500201917031879773e-01 1.701088999999999851e+00 1.148399999999999838e-01
1.512611019472467067e-01 1.719580000000000108e+00 1.102080000000000143e-01
1.525001997922531272e-01 1.748884999999999801e+00 1.005479999999999985e-01
1.537406998984434392e-01 1.778112000000000137e+00 1.013840000000000019e-01
1.549802342913746411e-01 1.799595000000000278e+00 9.930800000000000738e-02
1.562202323859380182e-01 1.823975999999999820e+00 9.457000000000000128e-02
1.574602329605025719e-01 1.848444000000000420e+00 9.248000000000000664e-02
1.586997599143676330e-01 1.875675000000000203e+00 9.590000000000001301e-02
1.599403854965875671e-01 1.897587999999999830e+00 9.921599999999998476e-02
1.611796048426344663e-01 1.917000000000000037e+00 9.695000000000000839e-02
1.624190256669195420e-01 1.936438999999999799e+00 9.743999999999999884e-02
1.636582109257104234e-01 1.955975999999999937e+00 9.793000000000001704e-02
1.648989033264612880e-01 1.972729000000000177e+00 1.011599999999999999e-01
1.661385121110318108e-01 1.992518999999999707e+00 9.883999999999999730e-02
1.673788204135050195e-01 2.009567999999999799e+00 9.642399999999999582e-02
1.686194391778750024e-01 2.026686999999999905e+00 9.398399999999999810e-02
1.698576403670211121e-01 2.043743999999999783e+00 9.724000000000000699e-02
1.710976311452579168e-01 2.058069000000000148e+00 9.758000000000001395e-02
1.723390890343605986e-01 2.075325000000000308e+00 9.798800000000000565e-02
1.735768209454139344e-01 2.089827000000000101e+00 9.543600000000000694e-02
1.753120491969963057e-01 2.104376999999999942e+00 9.286400000000000210e-02
1.760563841828659826e-01 2.118911999999999907e+00 9.318400000000000294e-02
1.778571043366801163e-01 2.133432000000000439e+00 9.642600000000001170e-02
1.786155349541874993e-01 2.145069000000000337e+00 9.962000000000001410e-02
1.797758133473011388e-01 2.159810999999999925e+00 9.702000000000000901e-02
1.810173118904117306e-01 2.171714999999999840e+00 9.138799999999999701e-02
1.822573205243502026e-01 2.186417000000000055e+00 9.465600000000000402e-02
1.834954230302801859e-01 2.198328000000000060e+00 9.194599999999999995e-02
1.847366979066956405e-01 2.210145000000000248e+00 9.516800000000000259e-02
1.859753512728932190e-01 2.225102999999999831e+00 9.250400000000000289e-02
1.872165910654582377e-01 2.237115999999999882e+00 8.975999999999999257e-02
1.884573217910284482e-01 2.249159000000000130e+00 8.700000000000000788e-02
1.896971915621409599e-01 2.258108999999999700e+00 9.017999999999999627e-02
1.909358395828131272e-01 2.270087999999999440e+00 9.343399999999998928e-02
1.921758748730542921e-01 2.279138999999999804e+00 9.361999999999999489e-02
1.934140171803187258e-01 2.288268999999999664e+00 9.077999999999998570e-02
1.946559918251322130e-01 2.300447999999999826e+00 8.798599999999999477e-02
1.958954471142811959e-01 2.309559000000000140e+00 8.816000000000000225e-02
1.971351142942771306e-01 2.318628999999999607e+00 9.137999999999998901e-02
1.983746998929595273e-01 2.327714999999999979e+00 9.461200000000000165e-02
1.996139030028009353e-01 2.336940999999999491e+00 9.173999999999998822e-02
2.008556691179038955e-01 2.346183000000000352e+00 8.885600000000000442e-02
2.020932150498772895e-01 2.355440999999999896e+00 8.595999999999999475e-02
2.033327660605807330e-01 2.364603000000000232e+00 8.920400000000000551e-02
2.045741138387283664e-01 2.370759000000000061e+00 8.932000000000001050e-02
2.058136276507689377e-01 2.380008000000000123e+00 8.949400000000000410e-02
2.070544212309614329e-01 2.389332000000000011e+00 8.657600000000000018e-02
2.082927683507488081e-01 2.398671999999999471e+00 8.364599999999999813e-02
2.095318519453452655e-01 2.404816999999999982e+00 8.685600000000000265e-02
2.107714324648098103e-01 2.414132000000000389e+00 8.702400000000000413e-02
2.120112644204851515e-01 2.420352000000000281e+00 8.713600000000000512e-02
2.132510963761604927e-01 2.426635000000000097e+00 8.413199999999999845e-02
2.144943816637539524e-01 2.436045000000000016e+00 8.117199999999999416e-02
2.157334785075946393e-01 2.442292999999999825e+00 8.127599999999998714e-02
2.169717855784605576e-01 2.451626999999999779e+00 8.456400000000000028e-02
2.182128681634336320e-01 2.457840000000000469e+00 8.780800000000001104e-02
2.194526920599318698e-01 2.464170999999999889e+00 8.478000000000000813e-02
2.206909708670340142e-01 2.473653000000000102e+00 8.179599999999999371e-02
2.219313848013097779e-01 2.479999999999999982e+00 7.875000000000000056e-02
2.231697520215633057e-01 2.486253000000000046e+00 8.200399999999999356e-02
2.244098308260777941e-01 2.492511999999999617e+00 8.526599999999999457e-02
2.256514467796882362e-01 2.498831999999999720e+00 8.537399999999999156e-02
2.268902688866313577e-01 2.505212999999999912e+00 8.231600000000000028e-02
2.281259773557925974e-01 2.511600000000000055e+00 7.925000000000000100e-02
2.293709761222105792e-01 2.517892999999999937e+00 8.252400000000000013e-02
2.306124796478986050e-01 2.524191999999999769e+00 8.580599999999999339e-02
2.318501522797137282e-01 2.530551999999999691e+00 8.591400000000000425e-02
2.330924168244622452e-01 2.536919999999999842e+00 8.602200000000000124e-02
2.343303485789070273e-01 2.540160000000000196e+00 8.288800000000000334e-02
2.355680715783168011e-01 2.546486999999999945e+00 8.618399999999999672e-02
2.368098927211775562e-01 2.549624999999999808e+00 8.943199999999999761e-02
2.380511633989971787e-01 2.552763000000000559e+00 9.268400000000001637e-02
2.392731872418312755e-01 2.556017000000000206e+00 8.954399999999999860e-02
2.405311516569660357e-01 2.562471999999999639e+00 8.645400000000000307e-02
2.420053627285675413e-01 2.565675000000000150e+00 8.650800000000000156e-02
2.430109514564870732e-01 2.568879999999999608e+00 8.656200000000000006e-02
2.442508765254815806e-01 2.572032000000000540e+00 8.982400000000000106e-02
2.454889366064740286e-01 2.578452000000000410e+00 8.993600000000000205e-02
2.467297913138041254e-01 2.581719999999999793e+00 8.677799999999999403e-02
2.479683748661994369e-01 2.584988000000000508e+00 8.361599999999999588e-02
2.492094378667759624e-01 2.588151999999999564e+00 8.688600000000000489e-02
2.504478081670532541e-01 2.591371000000000091e+00 8.694000000000000339e-02
2.516883283593506215e-01 2.594591999999999565e+00 8.699400000000000188e-02
2.529257189577717724e-01 2.601093000000000099e+00 8.387599999999999223e-02
2.541701259391138112e-01 2.604371000000000436e+00 8.070000000000000784e-02
2.554057915151197178e-01 2.607600000000000140e+00 8.075000000000000233e-02
2.566482175849214564e-01 2.610831000000000568e+00 8.080000000000001070e-02
2.578866972421318127e-01 2.617248000000000463e+00 8.413600000000000245e-02
2.591263557445601662e-01 2.620535999999999976e+00 8.095000000000000806e-02
2.603670539765634007e-01 2.623824000000000378e+00 7.776000000000000967e-02
2.616086498704444097e-01 2.627064999999999984e+00 7.780800000000000216e-02
2.628454259764674839e-01 2.630259000000000569e+00 8.110000000000000542e-02
2.640883263037823170e-01 2.633504000000000289e+00 8.114999999999999991e-02
2.653260019112322343e-01 2.636751000000000289e+00 8.120000000000000828e-02
2.665638704702005812e-01 2.640048999999999868e+00 7.799999999999999989e-02
2.678075588238718607e-01 2.643391999999999520e+00 7.154399999999999649e-02
2.690453907798965316e-01 2.646600000000000286e+00 7.484200000000000574e-02
2.702829338879920162e-01 2.649807999999999719e+00 7.814399999999999125e-02
2.715259678356176098e-01 2.653064999999999785e+00 7.819199999999999762e-02
2.727624847279720988e-01 2.656371000000000038e+00 7.497999999999999110e-02
2.740042596147975185e-01 2.659720000000000084e+00 6.850200000000000733e-02
2.752451713466527172e-01 2.662939999999999419e+00 7.180799999999999683e-02
