# freq(eV) epsO1 epsO2 epsE1 epsE2
1.064671080718670115e+00 3.058601000000000347e+00 6.996000000000000829e-02 2.975284158668350720e+00 6.367034038355236236e-02
1.068916046935280306e+00 3.058601000000000347e+00 6.996000000000000829e-02 2.975333246229250772e+00 6.210033638488930696e-02
1.073161013151890497e+00 3.058601000000000347e+00 6.996000000000000829e-02 2.976909436807115839e+00 6.211677882499453546e-02
1.077405979368500466e+00 3.058601000000000347e+00 6.996000000000000829e-02 2.978485627384981793e+00 6.213322126509977783e-02
1.081650945585110657e+00 3.058601000000000347e+00 6.996000000000000829e-02 2.978738198872472154e+00 6.342360789796903930e-02
1.085895911801720848e+00 3.058601000000000347e+00 6.996000000000000829e-02 2.978721591062998275e+00 6.497307163593181445e-02
1.090140878018330817e+00 3.058601000000000347e+00 6.996000000000000829e-02 2.978714999999999780e+00 6.558799999999999353e-02
1.094385844234941008e+00 3.058601000000000347e+00 6.996000000000000829e-02 2.978714999999999780e+00 6.558799999999999353e-02
1.098630810451551199e+00 3.058601000000000347e+00 6.996000000000000829e-02 2.978714999999999780e+00 6.558799999999999353e-02
1.102875776668161611e+00 3.058601000000000347e+00 6.996000000000000829e-02 2.978714999999999780e+00 6.558799999999999353e-02
1.107120742884771358e+00 3.058601000000000347e+00 6.996000000000000829e-02 2.978714999999999780e+00 6.558799999999999353e-02
1.111365709101381771e+00 3.058601000000000347e+00 6.996000000000000829e-02 2.978714999999999780e+00 6.558799999999999353e-02
1.115610675317991518e+00 3.058601000000000347e+00 6.996000000000000829e-02 2.978714999999999780e+00 6.558799999999999353e-02
1.119855641534601931e+00 3.058601000000000347e+00 6.996000000000000829e-02 2.978714999999999780e+00 6.558799999999999353e-02
1.124100607751212122e+00 3.058601000000000347e+00 6.996000000000000829e-02 2.978714999999999780e+00 6.558799999999999353e-02
1.128345573967822091e+00 3.058601000000000347e+00 6.996000000000000829e-02 2.978714999999999780e+00 6.558799999999999353e-02
1.132590540184432282e+00 3.058601000000000347e+00 6.996000000000000829e-02 2.978714999999999780e+00 6.558799999999999353e-02
1.136835506401042473e+00 3.058601000000000347e+00 6.996000000000000829e-02 2.978714999999999780e+00 6.558799999999999353e-02
1.141080472617652664e+00 3.058601000000000347e+00 6.996000000000000829e-02 2.978714999999999780e+00 6.558799999999999353e-02
1.145325438834262854e+00 3.058601000000000347e+00 6.996000000000000829e-02 2.978714999999999780e+00 6.558799999999999353e-02
1.149570405050873045e+00 3.058601000000000347e+00 6.996000000000000829e-02 2.978720409715502448e+00 6.508328816450821563e-02
1.153815371267483014e+00 3.058601000000000347e+00 6.996000000000000829e-02 2.978735048910489347e+00 6.371749083759008225e-02
1.158060337484093205e+00 3.058601000000000347e+00 6.996000000000000829e-02 2.978749688105476245e+00 6.235169351067187948e-02
1.162305303700703396e+00 3.058601000000000347e+00 6.996000000000000829e-02 2.978739900982878108e+00 6.326480559742697629e-02
1.166550269917313365e+00 3.058601000000000347e+00 6.996000000000000829e-02 2.978725532884094473e+00 6.460531038125406911e-02
1.170795236133923556e+00 3.058601000000000347e+00 6.996000000000000829e-02 2.978714999999999780e+00 6.558799999999999353e-02
