# freq(eV) epsO1 epsO2 epsE1 epsE2
1.030711350985789032e+00 3.971733813296260962e+00 2.450485976034261881e+00 4.519409971504457779e+00 3.855211991268408411e+00
1.034956317202399223e+00 3.925570494322130344e+00 2.461891351967339325e+00 4.586230410590518503e+00 3.920040455916252942e+00
1.039201283419009192e+00 3.879331162000508648e+00 2.473313926676387720e+00 4.629148687517257166e+00 3.984773655748963694e+00
1.043446249635619383e+00 3.833131905537657591e+00 2.484726601383254074e+00 4.656813698484015163e+00 4.049500485154459817e+00
1.047691215852229574e+00 3.786965755181661564e+00 2.495346874485356192e+00 4.668828530166569735e+00 4.114231076622286487e+00
1.051936182068839543e+00 3.740805925692381795e+00 2.492352000682141355e+00 4.680850173128717095e+00 4.179901624674114302e+00
1.056181148285449733e+00 3.694601687603601636e+00 2.484645851540594919e+00 4.692882270136559342e+00 4.256230465431561250e+00
1.060426114502059924e+00 3.648771045072735753e+00 2.473217752039344131e+00 4.704921328929901669e+00 4.341805729718362983e+00
1.064671080718670115e+00 3.608814882747257258e+00 2.461806480650756246e+00 4.716936160612456241e+00 4.427253676501826440e+00
1.068916046935280306e+00 3.583132403327771165e+00 2.450384965112738733e+00 4.728955250852256320e+00 4.512701623285288122e+00
1.073161013151890497e+00 3.568257212267166967e+00 2.438957561516338579e+00 4.740980106885539946e+00 4.598172077463681617e+00
1.077405979368500466e+00 3.553409857988284681e+00 2.427552975113918432e+00 4.753021248920680897e+00 4.683758289533195729e+00
1.081650945585110657e+00 3.538558628204541812e+00 2.416144513206639477e+00 4.765043791058341860e+00 4.769246756042775814e+00
1.085895911801720848e+00 3.523703185943813487e+00 2.404731732735744476e+00 4.774586867974025317e+00 4.854694702826238384e+00
1.090140878018330817e+00 3.508832413125058114e+00 2.393302462496386784e+00 4.776664775508164595e+00 4.940142649609696512e+00
1.094385844234941008e+00 3.493975464494797123e+00 2.381883817151111415e+00 4.733625824038785623e+00 5.016634449905075677e+00
1.098630810451551199e+00 3.479125266840146669e+00 2.370939301425554202e+00 4.678605989966768242e+00 5.090163132161386272e+00
1.102875776668161611e+00 3.464247798491081110e+00 2.364471419145987685e+00 4.623531331188805105e+00 5.162506148655462646e+00
1.107120742884771358e+00 3.449388425280192738e+00 2.359773084251535646e+00 4.568528647507295481e+00 5.234746727079828688e+00
1.111365709101381771e+00 3.434540369097211610e+00 2.356249394636960925e+00 4.513538973223136352e+00 5.306975741461799068e+00
1.115610675317991518e+00 3.419686329832161142e+00 2.352719721940315090e+00 4.458553288045787433e+00 5.379208744950576992e+00
1.119855641534601931e+00 3.405682619109542397e+00 2.349190736453099060e+00 4.403475583388393844e+00 5.451547373207810132e+00
1.124100607751212122e+00 3.392250230948976597e+00 2.345662061586393676e+00 4.348442386188660969e+00 5.523834913479025666e+00
1.128345573967822091e+00 3.379013958336555046e+00 2.342132388889748285e+00 4.293456385059829294e+00 5.596067601016320836e+00
1.132590540184432282e+00 3.365781828307099932e+00 2.338606858776069775e+00 4.238463842101836576e+00 5.668293746724461180e+00
1.136835506401042473e+00 3.352549657464253485e+00 2.335083183165064025e+00 4.183471299143844746e+00 5.740523923945365148e+00
1.141080472617652664e+00 3.339299202980544390e+00 2.331554638691635706e+00 4.127332423890217150e+00 5.812771193542261017e+00
1.145325438834262854e+00 3.326061900074006150e+00 2.328025383142533933e+00 4.063499946461479162e+00 5.885114210036337390e+00
1.149570405050873045e+00 3.312828608831658528e+00 2.324495862047617933e+00 3.991114151918105257e+00 5.929033200991502106e+00
